bike_station_id,fsq_id,venue_name,category,address,distance,price,rating,total_ratings
4530,44dccccbbf924e0fa41ac5e9,The Office SLC Lounge,Night Club,122 W Pierpont Ave,984.0,,,
4530,59f54fff1acf117283df15f8,Avant Groove,Jazz and Blues Venue,122 W Pierpont Ave,984.0,,,
4530,5bdbaa99336273002b9e822a,Fat Jack's Tap House,Beer Bar,206 S West Temple,998.0,1.0,,
4525,4f32ba1419836c91c7f3d1db,Ritz Club,Night Club,2265 S State St,663.0,2.0,,
4525,4c144093a5eb76b0b485c1b7,Big Willies,Sports Bar,1717 S Main St,685.0,2.0,6.6,16
4525,5647996338fa53ab667351b8,Shades Of Pale Brewing,Bar,2160 S West Temple,696.0,2.0,8.3,13
4525,4b08e7e0f964a520491323e3,Willie's Lounge,Dive Bar,1716 S Main St,710.0,1.0,6.7,20
4525,5a3bfb278173cb3a04858e06,SaltFire Brewing,Bar,2199 S West Temple,723.0,2.0,7.9,8
4525,4cfb319d29348eecbbd5663b,Manny's,Night Club,1704 S Main St,738.0,1.0,6.9,12
4525,5671f8ce498e5ad224c61cb7,Sugar House Distillery,Bar,2212 S West Temple,758.0,,,
4525,5c95916afd16bb003934e876,Beehive Bar,Bar,2245 S West Temple,779.0,,,
4525,4f7531c26aa36023afc6c962,Club Expose,Night Club,204 W 2100 S,839.0,2.0,,
4525,59effa6e67e5f2390bff04f0,Vertical Pizza,Cocktail Bar,2280 S West Temple,892.0,1.0,,
2259,4bbc2776afe1b7135f24304b,In The Venue,Music Venue,579 W 200 S,234.0,,7.2,66
2259,c05fd272a6d2431b5e7536d2,Bottoms Up,Bar,579 W 200 S,237.0,,,
2259,2412913118be4d8378b9ba3a,Gossip Slc,Night Club,579 W 200 S,246.0,,,
2259,4d3e2c1e6b3d236abd6e7064,Metro Bar,Night Club,540 W 200 S,476.0,,5.9,30
2259,59cd9f986bd36b50c15b05b7,Metro Music Hall,Rock Club,615 W 100 S,483.0,,,
2259,4f1ba383e4b0850c847718a6,Mixx,Night Club,615 W 100 S,483.0,2.0,,
2259,52f6fe8c11d2260115d77794,The Sun Trapp,Gay Bar,102 S 600 W,484.0,2.0,7.6,49
2259,4f32be6519836c91c7f5b595,Club Axis,Night Club,108 S 500 W,525.0,2.0,,
2259,4e6d317a88776961e588e0e6,Bout Time Pub & Grub,Sports Bar,169 S Rio Grande St,562.0,2.0,6.0,47
2259,4c9a765f7421b7132df7fe13,The Complex,Concert Hall,536 W 100 S,587.0,,6.0,104
2259,a5f0b5ebef9e445055e455be,Beer Zombies,Night Club,153 S Rio Grande St,592.0,,,
2259,5e01110a88607d0008f0ca31,Beer Zombies Bar SLC,Bar,153 S Rio Grande St,599.0,2.0,,
2259,52575c9e498e311f6deb6a5e,Lo-Fi Cafe,Dive Bar,445 S 400 W,656.0,1.0,,
2259,52cd757b11d2a691812f93fe,Paint Nite,Bar,533 S 500 W,659.0,2.0,,
2259,4ad4f28ff964a52036fd20e3,Club Orange,Bar,533 S 500 W,659.0,2.0,,
2259,4ad4f28ff964a5203afd20e3,Club Vegas,Night Club,445 S 400 W,665.0,,,
2259,5df058d7c834950007db2cee,Bewilder Brewing Co.,Bar,445 S 400 W,674.0,2.0,7.5,8
2259,551e437a498e8d65ee95a8dc,Club X,Concert Hall,445 S 400 W,674.0,2.0,,
2259,5c8bf822f96b2c002c3da817,George,Wine Bar,327 W 200 S,683.0,,,
2259,4ad4f28ff964a52048fd20e3,Area 51,Night Club,451 S 400 W,711.0,,7.5,35
2259,54c3def2498ef58b7043770e,The Fallout,Night Club,625 S 600 W,783.0,,,
2259,4b789e87f964a5207ada2ee3,Fleming's Prime Steakhouse & Wine Bar,Wine Bar,20 S 400 W,813.0,4.0,7.7,83
2259,5d58a02f6137a90007670d0c,Seabird,Cocktail Bar,11 S Rio Grande St,821.0,3.0,,
2259,6412642447271a0f7fba5411,Van Ryder,Rooftop Bar,131 S 300 W,887.0,,,
2259,5a21c7e4ee712062bf95eab3,Kiitos Brewing,Bar,608 W 700 S,889.0,2.0,7.8,29
2259,5f5d728daf65ef27d8829a70,Carson Kitchen,Cocktail Bar,241 W 200 S,889.0,2.0,,
2259,7260458cffc04736d72de232,Flanker Kitchen + Sporting Club,Karaoke Bar,6 N Rio Grande St,904.0,2.0,,
2259,62a2127ce73a143f3f4501ca,Slackwater,Beer Bar,684 S 500 W,926.0,1.0,,
2259,56920e1a498ec8a811fe6d33,Art's Place,Night Club,76 S 900 W,934.0,2.0,,
2259,4ae3d9ddf964a520509921e3,Poplar Street Pub,Karaoke Bar,242 S 200 W,935.0,2.0,7.3,144
7515,4f32716b19836c91c7d84e68,Club Esquire,Organization,2510 Washington Blvd,84.0,2.0,,
7515,5dc596f9950179000816acaf,Archie's at the Bigelow Hotel,Bar,2510 Washington Blvd,91.0,,,
7515,5e5858f82322cc0008c96a61,WB’s Eatery,Bar,455 25th St,92.0,1.0,,
7515,58ea8c3e04f4d7087cc7b1cd,Bigelow Grill,Bar,2510 Washington Blvd,99.0,2.0,,
7515,553f4d9f498e1e1fe7e34646,Funk 'n Dive,Dive Bar,2550 Washington Blvd,163.0,2.0,6.7,13
7515,588fd70afc5a5f18a3ce7db0,Harp And Hound,Pub,2550 Washington Blvd,169.0,1.0,6.5,14
7515,4e7d6414b8f724f0c25c7ea9,Lamplite Lounge,Dive Bar,455 24th St,196.0,1.0,,
7515,5972c026f96b2c0320c4072a,The Angry Goat Pub & Kitchen,Beer Bar,2570 Washington Blvd,228.0,,,
7515,4afe3465f964a520ba2e22e3,Kamikazes,Whisky Bar,2404 Adams Ave,243.0,3.0,7.5,13
7515,4d6f0b24359937041723089d,The Hog-Den,Bar,,280.0,2.0,,
7515,5468fd90498e9e5bff97a22b,The Barrelhouse,Bar,315 24th St,336.0,2.0,,
7515,533cb88411d29ed01acc4b8f,The Century Club,Night Club,315 24th St,355.0,2.0,,
7515,4f32bd7119836c91c7f54870,Secret Garden,Bar,2336 Washington Blvd,361.0,,,
7515,4b76265cf964a52029402ee3,The City Club,Bar,264 25th St,425.0,2.0,7.7,25
7515,4c53a3b130f92d7fddcc1cb9,Club Wet,Bar,2700 S 1900 W,447.0,2.0,,
7515,4f325f5919836c91c7d15525,Troc Lounge & Grill,Bar,352 27TH St,448.0,,,
7515,4b6ce41bf964a520ec5b2ce3,Roosters 25th St Brewing Co.,Bar,253 25th St,450.0,2.0,7.8,114
7515,4b4e872af964a52096f026e3,Brewski's,Night Club,244 25th St,465.0,1.0,6.3,41
7515,52f65bfe38b182419b7f0641,Beatnik's,Arts and Entertainment,240 25th St,477.0,,,
7515,4edff1f6754ad33b5bbe0caf,Rocks Lounge,Bar,247 24th St,501.0,1.0,,
7515,5deed7e1f93ca900078d25bc,The Underground At Zucca,Speakeasy,225 25th St,515.0,2.0,,
7515,9a5a89133c66468a004ac1e4,UTOG Brewing,Bar,2331 Grant Ave,529.0,,,
